PCA1,PCA2
-2.3462887272233592,-1.8257627130829246
-2.34663698827224,-1.825640034830698
-2.346473542912381,-1.8256339675851712
-2.3456674375099027,-1.8257743539178202
-2.34542638513732,-1.8257859722664662
-2.3452872001690293,-1.8257743764040693
-2.344968540783723,-1.825803680346888
-2.344856029247268,-1.8257860059682063
-2.3450757494600207,-1.825692620443308
-2.3448080238981186,-1.8257103172529718
-2.344542725684963,-1.8257274609025116
-2.3440446061911193,-1.8257976613898355
-2.3436750277759217,-1.8258385690945658
-2.343972369794911,-1.8257274946042517
-2.344446744331173,-1.8255760767848228
-2.3443609062265542,-1.8255523238898566
-2.343940393745435,-1.825604838783008
-2.343825454617717,-1.8255877176197177
-2.34394332221969,-1.825517542934619
-2.343983597359936,-1.8254650505277161
-2.3443827922322216,-1.8253307651423358
-2.344937186578958,-1.8251611118845856
-2.3459523833405727,-1.824886447955538
-2.3453766568340058,-1.8249743340370355
-2.3452132114741464,-1.8249682667915086
-2.3443828454375826,-1.8251141817962935
-2.3439356597671446,-1.8251727751504632
-2.3440268539372817,-1.825108678981649
-2.343274094913442,-1.8252369083922606
-2.3436223709983524,-1.825114226713525
-2.3436359579132495,-1.8250678161941503
-2.3437538255152224,-1.824997641509051
-2.3443082346554722,-1.8248279848800586
-2.3443218363638825,-1.824781570989441
-2.3450047717892635,-1.8245826249490966
-2.3452487526361017,-1.824483710752061
-2.3460092948316897,-1.8242670791728102
-2.3465612766231927,-1.8240979757039422
-2.347396998482758,-1.8238642116906434
-2.347027419825043,-1.8239051194506402
-2.346863974465184,-1.8238990522051133
-2.3484684700972664,-1.8234900949911699
-2.3496873723229563,-1.8231690093272563
-2.3491650072310573,-1.823244735060208
-2.3495399562627703,-1.8231159749757209
-2.3512196313163134,-1.8226898853829958
-2.3510828666637877,-1.8226777379631962
-2.35004636005387,-1.8228706296314927
-2.350009028181393,-1.8228358228187629
-2.35010022235153,-1.8227717266499492
-2.351525265150574,-1.8224036643225234
-2.352336733894069,-1.822175427268106
-2.3516591545342056,-1.8222865242446697
-2.351262895411674,-1.8223335121236732
-2.350662923064535,-1.822426923506064
-2.349704023709857,-1.822602129524922
-2.349334445052143,-1.822643037284919
-2.34973363264893,-1.8225087535575264
-2.3495435213752502,-1.8225087631150296
-2.349224861989943,-1.8225380670578484
-2.34898380961736,-1.8225496854064944
-2.3494848573429414,-1.8223921891260466
-2.3505000465865415,-1.822117526910254
-2.3497982141106077,-1.8222341508456996
-2.348785960616761,-1.8224215155551151
-2.3476476086715627,-1.822637616405224
-2.3468414882330553,-1.8227780061643812
-2.346498583007176,-1.8228128354080935
-2.3462308574452737,-1.822830532217758
-2.3462711325855197,-1.822778039810856
-2.3466460668237197,-1.8226492830976107
-2.3465844891106697,-1.8226200015857745
-2.3463167635487676,-1.8226376983954393
-2.346075711176184,-1.822649316744085
-2.346576758901766,-1.8224918204636378
-2.3464909205546305,-1.822468067623938
-2.345786668005448,-1.8225852430615201
-2.3453661557668455,-1.822637757899405
-2.3456125639624306,-1.822538290542245
-2.3457304313218867,-1.8224681159124125
-2.346052019423965,-1.8223515160659378
-2.3464779022790827,-1.822211148848296
-2.3472360171259243,-1.8219950704291703
-2.347225358442766,-1.8219541851554224
-2.347369914027571,-1.821877928638063
-2.348768276361798,-1.8215159464296435
-2.3494245308373283,-1.821323080618838
-2.351567420860983,-1.8207914305659338
-2.3517871558672487,-1.8206980416697929
-2.353879112067499,-1.820177998750043
-2.3528426129755964,-1.8203708887050853
-2.3526282410678307,-1.8203764269347251
-2.3541042031392827,-1.8199967607901213
-2.3553255329562366,-1.8196751219108165
-2.3568791017978956,-1.819277770227306
-2.3579452175894016,-1.818991502536347
-2.3557276635782753,-1.8194535390190578
-2.3558964647611367,-1.819371757256071
-2.3553231658458325,-1.819459090122177
-2.3542599860465967,-1.819658060251492
-2.3534296200100333,-1.8198039752562767
-2.352958181223524,-1.8198680955693283
-2.352947522540365,-1.8198272102955804
-2.352524582710499,-1.819880278348857
-2.3541557660828967,-1.8194652393579194
-2.3541208542836674,-1.8194298810430531
-2.354185375264486,-1.8193718633352571
-2.3540219299046266,-1.8193657960897303
-2.3548576592822066,-1.8191320303631773
-2.3556933811417715,-1.8188982663498778
-2.355503262592593,-1.8188982775653697
-2.3546462158486956,-1.819050272744427
-2.3533526421175184,-1.8193017465514023
-2.3527769231289666,-1.8193896309196456
-2.352356410647847,-1.8194421458127967
-2.3528089596593023,-1.819295701736858
-2.3530796212134746,-1.8191907073655504
-2.3530422818229817,-1.8191559022660748
-2.3530825569632277,-1.8191034098591732
-2.3526377913660377,-1.8191614517112062
-2.3523967389934546,-1.8191730700598527
-2.352871113529717,-1.819021652240423
-2.3528095285411688,-1.8189923723865755
-2.353543397547438,-1.818781819268343
-2.354097799169672,-1.8186121643526043
-2.3552657750899733,-1.8183026841085905
-2.3554345765153504,-1.8182209022903373
-2.354269536344803,-1.8184430850279734
-2.3540551644370376,-1.8184486232576127
-2.3523759905090036,-1.818787970162073
-2.3519312324298283,-1.8188460103008524
-2.3517144329307995,-1.818852101745883
-2.3518832343561766,-1.8187703199276293
-2.352488569801816,-1.818589057878736
-2.3532200114593387,-1.8183790579206285
-2.3525181789834053,-1.8184956818560742
