,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,sold
0,1,4,-0.9374821446508234,7,48,-0.08318376022278404,-0.7263897834399132,5,2,-0.8766644047489469,0.3060988303318405,1
1,1,4,-0.9374821446508234,10,50,-0.08318376022278404,0.06798904629493698,88,2,-0.9138311522889256,-0.32317983238512094,1
2,7,3,0.24025338122776266,30,51,-0.08318376022278404,0.06798904629493698,59,4,-0.2696075282626288,-0.7856835873494602,0
3,1,4,0.1378415963687555,35,56,1.3550902875001938,1.6567467057646377,57,2,-0.3067742758026075,2.0161948281897373,1
4,1,4,-0.9374821446508234,7,26,-0.08318376022278404,0.06798904629493698,97,2,-0.8766644047489469,0.968444070084593,0
5,0,3,0.24025338122776266,23,10,-0.802320784084273,1.5822736904769952,79,4,0.027726452057200486,-1.0355389837770683,0
6,1,4,0.1378415963687555,35,35,1.3550902875001938,0.06798904629493698,36,8,-0.0466070430227569,1.4486946969209045,0
7,1,4,-0.9374821446508234,10,50,-0.08318376022278404,0.06798904629493698,88,2,-0.9138311522889256,0.047691240620796015,1
8,2,4,-0.5790408976442973,30,117,1.3550902875001938,1.6567467057646377,87,4,-0.963386815675564,0.5278419252985368,0
9,0,4,-0.5790408976442973,27,45,-0.08318376022278404,0.06798904629493698,29,4,-0.5917193402757772,-0.5072732884729827,1
10,7,3,0.24025338122776266,23,51,-0.802320784084273,1.5822736904769952,59,4,-0.2696075282626288,-1.0442482290239736,0
11,7,3,0.24025338122776266,30,91,-0.802320784084273,1.5822736904769952,56,4,-0.2696075282626288,-1.1140792429626838,0
12,1,4,0.1378415963687555,35,68,1.3550902875001938,0.06798904629493698,7,2,-0.3067742758026075,1.877018233653947,0
13,4,3,0.24025338122776266,30,91,-0.802320784084273,0.06798904629493698,92,4,0.15161561052379613,-0.8943349911674087,0
14,1,4,-1.6031587462343726,0,36,-0.08318376022278404,0.06798904629493698,53,2,-1.434165617848627,0.1957484098181845,1
15,1,4,-0.9374821446508234,7,48,-0.08318376022278404,0.06798904629493698,5,2,-0.8766644047489469,0.5614653229320804,1
16,4,3,0.24025338122776266,30,12,-0.08318376022278404,0.06798904629493698,92,4,0.15161561052379613,-0.5429669165340696,0
17,1,4,0.1378415963687555,35,92,1.3550902875001938,1.6567467057646377,81,2,-0.3067742758026075,2.4738585271889924,1
18,10,3,0.24025338122776266,30,14,-0.08318376022278404,-1.51456252856746,105,4,0.15161561052379613,-0.8941922166551642,0
19,4,4,-0.9374821446508234,32,45,-0.08318376022278404,-0.7263897834399132,29,4,-1.0624981424488404,-0.20887455788229634,0
21,10,1,0.24025338122776266,27,97,-0.08318376022278404,0.06798904629493698,69,4,0.5232830859235825,-0.18031965543342687,0
22,7,3,0.24025338122776266,23,44,-0.802320784084273,1.5822736904769952,95,4,-0.2696075282626288,-1.2382787911640418,0
23,4,0,-0.9374821446508234,14,45,-0.08318376022278404,0.06798904629493698,29,4,-0.5669415085824581,-0.4373137774732524,1
24,7,4,0.24025338122776266,30,117,-0.08318376022278404,0.06798904629493698,59,4,-0.20766294902933125,-0.6657529970642084,0
25,4,3,0.24025338122776266,23,91,-0.802320784084273,-1.51456252856746,56,4,0.2755047689903912,-1.0089258146947218,0
26,1,4,-0.9374821446508234,10,79,-0.08318376022278404,0.06798904629493698,88,8,-0.9014422364422661,-0.0375451431890794,0
27,4,3,0.24025338122776266,30,45,-0.08318376022278404,0.06798904629493698,37,4,0.15161561052379613,-0.4644409347996784,1
28,4,4,0.24025338122776266,30,100,-0.08318376022278404,0.06798904629493698,29,4,-0.24482969656930995,0.2465761361771721,1
29,7,3,1.110753552529327,30,45,-0.08318376022278404,-1.51456252856746,58,4,0.5232830859235825,-0.3273774030451049,0
30,3,3,0.24025338122776266,30,24,-0.802320784084273,0.06798904629493698,72,4,-0.23244078072265037,-1.2568537552070314,0
31,2,3,-0.5790408976442973,23,39,-1.1618892960150173,0.06798904629493698,95,4,-0.5297747610424797,-1.3225157533882068,0
32,7,3,1.110753552529327,30,73,-0.802320784084273,1.5822736904769952,37,4,0.7834503187034332,-0.9798569240017728,1
33,4,4,-0.9374821446508234,19,117,1.3550902875001938,1.6567467057646377,29,4,-1.0872759741421596,1.0618186010923965,0
34,1,4,-0.9374821446508234,10,79,-0.08318376022278404,0.06798904629493698,88,8,-0.9014422364422661,-0.18174740055587033,0
